timestamp,temperature,humidity,pressure_hi,pressure_lo,gas_hi,gas_lo,wind_speed,wind_direction,motor_voltage,motor_current,motor_power_raw,motor_control
2026-07-30 15:30:54,3391,5173,1,34187,1,34187,1,34187,10,7,81,1
2026-07-30 15:30:57,3391,5173,1,34187,1,34187,1,34187,10,11,122,1
2026-07-30 15:30:59,3391,5173,1,34187,1,34187,1,34187,10,11,114,1
2026-07-30 15:31:01,3391,5173,1,34187,1,34187,1,34187,10,7,78,1
2026-07-30 15:31:03,3391,5173,1,34187,1,34187,1,34187,10,11,121,1
2026-07-30 15:31:05,3391,5173,1,34187,1,34187,1,34187,10,8,86,1
2026-07-30 15:31:07,3391,5173,1,34187,1,34187,1,34187,10,11,129,1
2026-07-30 15:31:09,3391,5173,1,34187,1,34187,1,34187,10,7,84,1
2026-07-30 15:31:12,3391,5173,1,34187,1,34187,1,34187,10,7,80,1
2026-07-30 15:31:14,3391,5173,1,34187,1,34187,1,34187,10,7,83,1
2026-07-30 15:31:16,3391,5173,1,34187,1,34187,1,34187,10,11,119,1
2026-07-30 15:31:18,3391,5173,1,34187,1,34187,1,34187,10,8,88,1
2026-07-30 15:31:20,3391,5173,1,34187,1,34187,1,34187,10,7,84,1
2026-07-30 15:31:22,3391,5173,1,34187,1,34187,1,34187,10,11,120,1
2026-07-30 15:31:24,3391,5173,1,34187,1,34187,1,34187,10,11,124,1
2026-07-30 15:31:27,3391,5173,1,34187,1,34187,1,34187,10,7,80,1
2026-07-30 15:31:29,3391,5173,1,34187,1,34187,1,34187,10,11,117,1
2026-07-30 15:31:31,3391,5173,1,34187,1,34187,1,34187,10,10,118,1
2026-07-30 15:31:33,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
2026-07-30 15:31:35,3391,5173,1,34187,1,34187,1,34187,10,11,116,1
2026-07-30 15:31:37,3391,5173,1,34187,1,34187,1,34187,10,10,111,1
2026-07-30 15:31:40,3391,5173,1,34187,1,34187,1,34187,10,10,108,1
2026-07-30 15:31:42,3391,5173,1,34187,1,34187,1,34187,10,7,79,1
2026-07-30 15:31:44,3391,5173,1,34187,1,34187,1,34187,10,7,82,1
2026-07-30 15:31:46,3391,5173,1,34187,1,34187,1,34187,10,7,79,1
2026-07-30 15:31:48,3391,5173,1,34187,1,34187,1,34187,10,10,117,1
2026-07-30 15:31:50,3391,5173,1,34187,1,34187,1,34187,10,11,124,1
2026-07-30 15:31:52,3391,5173,1,34187,1,34187,1,34187,10,7,76,1
2026-07-30 15:31:55,3391,5173,1,34187,1,34187,1,34187,10,11,118,1
2026-07-30 15:31:57,3391,5173,1,34187,1,34187,1,34187,10,7,75,1
2026-07-30 15:31:59,3391,5173,1,34187,1,34187,1,34187,10,7,80,1
2026-07-30 15:32:01,3391,5173,1,34187,1,34187,1,34187,10,11,120,1
2026-07-30 15:32:03,3391,5173,1,34187,1,34187,1,34187,10,7,79,1
2026-07-30 15:32:05,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
2026-07-30 15:32:08,3391,5173,1,34187,1,34187,1,34187,10,10,104,1
2026-07-30 15:32:10,3391,5173,1,34187,1,34187,1,34187,10,9,94,1
2026-07-30 15:32:12,3391,5173,1,34187,1,34187,1,34187,10,7,84,1
2026-07-30 15:32:14,3391,5173,1,34187,1,34187,1,34187,10,11,120,1
2026-07-30 15:32:16,3391,5173,1,34187,1,34187,1,34187,10,8,84,1
2026-07-30 15:32:18,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
2026-07-30 15:32:21,3391,5173,1,34187,1,34187,1,34187,10,7,82,1
2026-07-30 15:32:23,3391,5173,1,34187,1,34187,1,34187,10,11,121,1
2026-07-30 15:32:25,3391,5173,1,34187,1,34187,1,34187,10,10,116,1
2026-07-30 15:32:27,3391,5173,1,34187,1,34187,1,34187,10,7,76,1
2026-07-30 15:32:30,3391,5173,1,34187,1,34187,1,34187,10,11,117,1
2026-07-30 15:32:32,3391,5173,1,34187,1,34187,1,34187,10,7,76,1
2026-07-30 15:32:35,3391,5173,1,34187,1,34187,1,34187,10,10,103,1
2026-07-30 15:32:37,3391,5173,1,34187,1,34187,1,34187,10,10,111,1
2026-07-30 15:32:39,3391,5173,1,34187,1,34187,1,34187,10,7,81,1
2026-07-30 15:32:41,3391,5173,1,34187,1,34187,1,34187,10,9,100,1
2026-07-30 15:32:43,3391,5173,1,34187,1,34187,1,34187,10,8,89,1
2026-07-30 15:32:46,3391,5173,1,34187,1,34187,1,34187,10,9,99,1
2026-07-30 15:32:48,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
